player_depth_chart_position,player_id,player_name,player_position,player_team
,3644,Lawrence Thomas,RB,
,115,Cullen Loeffler,LS,
LDE,3860,Kenton Adeyemi,DE,
,1833,Damien Williams,RB,ATL
,1404,Leon McFadden,CB,
,3763,Woodrow Hamilton,DT,NYG
LCB,2323,Marcus Peters,CB,BAL
,1495,Ryan Nassib,QB,
,6443,Eric Dungey,QB,
,7420,Josh Hokit,FB,
,1531,Sharrif Floyd,DT,
,3960,Bill O'Brien,,
,4582,Deon Hollins,OLB,
,78,Ahmad Bradshaw,RB,
,3686,Joe Sommers,TE,
,4257,Jack Tocho,FS,
SS,5452,J.T. Gray,DB,NO
TE,6926,Brycen Hopkins,TE,LAR
,1299,Kyle Miller,TE,
,6550,Dino Boyd,OT,
,1982,Aaron Colvin,CB,
,572,Darrell Stuckey,FS,
,904,DeMarco Murray,RB,
,7505,Duplicate Player,,
,5448,Robert Jackson,CB,
RILB,6141,Drue Tranquill,LB,LAC
,661,Alex Smith,TE,
LCB,5888,Amani Oruwariye,CB,DET
,4350,Ricky Ortiz,FB,
,2582,Cole Stoudt,QB,
,6903,Lloyd Cushenberry,C,DEN
,7084,Jake Luton,QB,NO
,8102,DeShon Williams,TE,
,761,Brian St Pierre,QB,
RB,6039,Ty Johnson,RB,NYJ
,79,Stefan Charles,DT,
LDE,8347,Eyioma Uwazurike,DL,DEN
,8801,Dennis Houston,WR,DAL
,116,Ryan Clady,OT,
,2232,Demetrius Rhaney,C,
,93,D'Qwell Jackson,LB,
,5833,Kevin O'Connell,QB,
,2361,Senquez Golson,CB,
,3064,Derrick Lott,DT,
,113,Jahri Evans,G,
RILB,6065,Cody Barton,LB,SEA
,4466,Noble Nwachukwu,DT,
,1249,Terrell Manning,ILB,
,5617,Austin Barnard,P,
,1782,Brian Folkerts,C,
,4432,Corey Vereen,DE,
,6914,Trevon Hill,DL,
,6139,Jace Sternberger,TE,
,1534,Michael Mauti,LB,
,6985,Dezmon Patmon,WR,IND
,2410,Jamison Crowder,WR,BUF
,1863,Zach Thompson,OLB,
SS,7251,Jovante Moffatt,DB,ATL
,7673,Chazz Surratt,LB,NYJ
,5778,Zaycoven Henderson,DT,
,8070,Travis Toivonen,WR,
